IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,Substance,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Non-Annex_I,Western_Africa,NGA,Nigeria,2.B,Chemical Industry,fossil,CO2,2003,113.4524884,110.6830168,115.2374013,117.816357,117.0046074,117.8761291,113.4524884,110.6830168,115.2374013,117.816357,117.0046074,117.8761291
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.2,Manufacturing Industries and Construction,fossil,CO2,2003,618.9933413,603.8987914,628.7335584,642.7754542,638.3274208,643.0706187,618.9241829,603.7987143,628.6577275,642.7572132,638.3471753,643.1142719
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.3,Glass Production,fossil,CO2,2003,0.543394892,0.530137554,0.551935185,0.564266691,0.560359788,0.564520506,0.543322447,0.530046033,0.55186948,0.564249504,0.560381083,0.564566838
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.2,Liming,fossil,CO2,2003,0.61346397,0.86359658,2.441077294,3.36595871,2.218710394,1.057192934,0.61346397,0.86359658,2.441077294,3.36595871,2.218710394,1.057192934
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.1,Cement production,fossil,CO2,2003,78.43807505,76.53042416,79.67420805,81.44518683,80.87666194,81.47494731,78.41218234,76.49110455,79.64393394,81.43812004,80.8840114,81.49114438
Non-Annex_I,Western_Africa,NGA,Nigeria,1.B.1,Solid Fuels,fossil,CO2,2003,0.00994593,0.00994593,0.00994593,0.00994593,0.00994593,0.00994593,0.00994593,0.00994593,0.00994593,0.00994593,0.00994593,0.00994593
Non-Annex_I,Western_Africa,NGA,Nigeria,2.A.4,Other Process Uses of Carbonates,fossil,CO2,2003,15.06625824,14.69847809,15.30329102,15.64577106,15.53797237,15.65370867,15.06625824,14.69847809,15.30329102,15.64577106,15.53797237,15.65370867
Non-Annex_I,Western_Africa,NGA,Nigeria,2.C,Metal Industry,fossil,CO2,2003,0.050294368,0.04906664,0.051085634,0.052228905,0.05186905,0.052255403,0.050294368,0.04906664,0.051085634,0.052228905,0.05186905,0.052255403
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.b_noRES,Road Transportation no resuspension,fossil,CO2,2003,2322.068058,2354.40096,2407.845701,2506.060166,2477.172364,2383.012075,2322.227856,2354.507846,2407.911779,2506.125454,2477.159352,2382.892609
Non-Annex_I,Western_Africa,NGA,Nigeria,3.C.3,Urea application,fossil,CO2,2003,5.226502257,7.357514158,20.79662257,28.67611282,18.90222468,9.006514849,5.226126103,7.357058423,20.79613445,28.6754042,18.90167922,9.006642968
Non-Annex_I,Western_Africa,NGA,Nigeria,1.A.3.c,Railways,fossil,CO2,2003,7.476120164,7.58011009,7.752085643,8.068330736,7.975195134,7.671843233,7.476120164,7.58011009,7.752085643,8.068330736,7.975195134,7.671843233
